date,sales
2023-07-24,317.24
2023-07-25,343.46
2023-07-26,349.04
2023-07-27,321.86
2023-07-28,288.29
2023-07-29,281.8
2023-07-30,297.2
2023-07-31,319.45
2023-08-01,340.47
2023-08-02,354.97
2023-08-03,337.65
2023-08-04,306.4
2023-08-05,301.9
2023-08-06,286.09
2023-08-07,322.54
2023-08-08,327.1
2023-08-09,331.53
2023-08-10,321.14
2023-08-11,292.3
2023-08-12,308.8
2023-08-13,319.42
2023-08-14,329.08
2023-08-15,331.49
2023-08-16,353.28
2023-08-17,317.62
2023-08-18,304.89
2023-08-19,278.59
2023-08-20,281.8
2023-08-21,322.0
2023-08-22,348.93
2023-08-23,350.11
2023-08-24,334.47
2023-08-25,294.24
2023-08-26,297.56
2023-08-27,290.24
2023-08-28,312.99
2023-08-29,342.98
2023-08-30,338.96
2023-08-31,339.19
2023-09-01,295.49
2023-09-02,273.27
2023-09-03,285.31
2023-09-04,304.68
2023-09-05,329.16
2023-09-06,331.75
2023-09-07,325.16
2023-09-08,310.66
2023-09-09,287.18
2023-09-10,308.84
2023-09-11,318.45
2023-09-12,352.18
2023-09-13,359.44
2023-09-14,336.8
2023-09-15,299.0
2023-09-16,300.68
2023-09-17,296.53
2023-09-18,317.46
2023-09-19,324.95
2023-09-20,353.53
2023-09-21,342.28
2023-09-22,314.03
2023-09-23,305.41
2023-09-24,284.71
2023-09-25,309.5
2023-09-26,348.11
2023-09-27,342.94
2023-09-28,347.28
2023-09-29,314.55
2023-09-30,302.57
2023-10-01,307.09
2023-10-02,326.22
2023-10-03,345.19
2023-10-04,365.76
2023-10-05,320.82
2023-10-06,324.97
2023-10-07,302.68
2023-10-08,300.53
2023-10-09,332.72
2023-10-10,343.89
2023-10-11,340.26
2023-10-12,326.45
2023-10-13,296.06
2023-10-14,301.15
2023-10-15,311.7
2023-10-16,321.75
2023-10-17,342.22
2023-10-18,331.53
2023-10-19,323.46
2023-10-20,328.03
2023-10-21,288.51
2023-10-22,288.97
2023-10-23,313.67
2023-10-24,356.41
2023-10-25,329.87
2023-10-26,340.31
2023-10-27,319.84
2023-10-28,296.41
2023-10-29,313.29
2023-10-30,325.14
2023-10-31,331.27
2023-11-01,351.36
2023-11-02,331.95
2023-11-03,318.03
2023-11-04,298.28
2023-11-05,314.33
2023-11-06,329.8
2023-11-07,354.08
2023-11-08,352.74
2023-11-09,318.86
2023-11-10,294.77
2023-11-11,300.12
2023-11-12,306.97
2023-11-13,336.16
2023-11-14,337.61
2023-11-15,342.74
2023-11-16,361.31
2023-11-17,305.1
2023-11-18,294.59
2023-11-19,307.06
2023-11-20,320.48
2023-11-21,335.43
2023-11-22,337.43
2023-11-23,337.55
2023-11-24,316.6
2023-11-25,304.5
2023-11-26,310.37
2023-11-27,313.34
2023-11-28,352.41
2023-11-29,381.02
2023-11-30,331.41
2023-12-01,311.31
2023-12-02,309.37
2023-12-03,311.54
2023-12-04,298.71
2023-12-05,337.54
2023-12-06,330.1
2023-12-07,343.96
2023-12-08,319.14
2023-12-09,308.51
2023-12-10,319.79
2023-12-11,326.54
2023-12-12,352.63
2023-12-13,353.54
2023-12-14,335.79
2023-12-15,309.23
2023-12-16,290.44
2023-12-17,316.29
2023-12-18,320.25
2023-12-19,357.15
2023-12-20,339.29
2023-12-21,339.03
2023-12-22,322.52
2023-12-23,307.68
2023-12-24,308.52
2023-12-25,333.09
2023-12-26,346.86
2023-12-27,365.17
2023-12-28,345.99
2023-12-29,334.31
2023-12-30,313.95
2023-12-31,307.72
2024-01-01,327.76
2024-01-02,346.28
2024-01-03,357.88
2024-01-04,326.7
2024-01-05,316.25
2024-01-06,298.24
2024-01-07,305.95
2024-01-08,321.74
2024-01-09,364.66
2024-01-10,361.03
2024-01-11,337.35
2024-01-12,322.69
2024-01-13,299.14
2024-01-14,312.84
2024-01-15,320.58
2024-01-16,341.28
2024-01-17,341.16
2024-01-18,338.19
2024-01-19,323.04
2024-01-20,295.17
2024-01-21,292.33
2024-01-22,331.1
2024-01-23,348.1
2024-01-24,345.76
2024-01-25,339.48
2024-01-26,312.32
2024-01-27,327.06
2024-01-28,309.45
2024-01-29,336.57
2024-01-30,353.22
2024-01-31,357.92
2024-02-01,343.65
2024-02-02,321.93
2024-02-03,300.59
2024-02-04,324.6
2024-02-05,326.34
2024-02-06,356.5
2024-02-07,351.78
2024-02-08,335.46
2024-02-09,320.89
2024-02-10,312.22
2024-02-11,331.12
2024-02-12,329.8
2024-02-13,362.54
2024-02-14,351.62
2024-02-15,342.65
2024-02-16,321.05
2024-02-17,309.85
2024-02-18,304.45
2024-02-19,325.12
2024-02-20,342.85
2024-02-21,359.55
2024-02-22,352.59
2024-02-23,314.25
2024-02-24,317.22
2024-02-25,296.17
2024-02-26,336.59
2024-02-27,360.5
2024-02-28,341.91
2024-02-29,342.54
2024-03-01,310.1
2024-03-02,308.1
2024-03-03,298.5
2024-03-04,337.64
2024-03-05,343.3
2024-03-06,344.55
2024-03-07,346.85
2024-03-08,315.42
2024-03-09,293.12
2024-03-10,314.41
2024-03-11,350.86
2024-03-12,349.34
2024-03-13,368.21
2024-03-14,356.03
2024-03-15,339.65
2024-03-16,314.11
2024-03-17,311.71
2024-03-18,339.8
2024-03-19,358.12
2024-03-20,361.07
2024-03-21,354.19
2024-03-22,322.39
2024-03-23,305.02
2024-03-24,305.18
2024-03-25,345.27
2024-03-26,342.01
2024-03-27,353.97
2024-03-28,328.64
2024-03-29,333.91
2024-03-30,305.35
2024-03-31,318.5
2024-04-01,332.26
2024-04-02,360.38
2024-04-03,381.66
2024-04-04,350.64
2024-04-05,341.25
2024-04-06,312.53
2024-04-07,311.18
2024-04-08,323.28
2024-04-09,356.91
2024-04-10,352.28
2024-04-11,339.12
2024-04-12,337.01
2024-04-13,315.98
2024-04-14,312.65
2024-04-15,354.41
2024-04-16,359.1
2024-04-17,363.03
2024-04-18,343.67
2024-04-19,317.65
2024-04-20,321.56
2024-04-21,316.99
2024-04-22,320.34
2024-04-23,361.38
2024-04-24,363.11
2024-04-25,351.15
2024-04-26,320.51
2024-04-27,316.92
2024-04-28,308.82
2024-04-29,318.63
2024-04-30,354.88
2024-05-01,359.87
2024-05-02,368.49
2024-05-03,340.83
2024-05-04,321.93
2024-05-05,315.74
2024-05-06,347.3
2024-05-07,358.53
2024-05-08,355.99
2024-05-09,357.28
2024-05-10,322.45
2024-05-11,316.27
2024-05-12,328.32
2024-05-13,346.68
2024-05-14,361.37
